\C[6]This may take a long time to randomize. Do you still wish to continue?,\C[6]Die Randomisierung kann eine lange Zeit in Anspruch nehmen. M├Âchten Sie trotzdem fortfahren?
The wild Pok├®mon were re-shuffled.,Die wilden Pok├®mon wurden neu gemischt.
Pok├®mon need to be randomized for this option.,F├╝r diese Option m├╝ssen die Pok├®mon randomisiert werden.
Reshuffle trainers?,Trainer umbesetzen?
The trainers have been shuffled.,Die Trainer wurden umbesetzt.
Wild Pok├®mon BST range?,Wilde Pok├®mon BST-Bereich?
The new stats range for wild Pok├®mon is \V[197],Der neue Wertebereich f├╝r wilde Pok├®mon ist \V[197]
Trainers BST range?,Trainer BST-Bereich?
The new stats range for trainers is \V[195],Der neue Statistikbereich f├╝r Ausbilder ist \V[195]
You will have to re-shuffle the Pok├®dex and/or trainers for the changes to be applied.,"Sie m├╝ssen den Pok├®dex und/oder die Trainer neu zusammenstellen, damit die ├änderungen ├╝bernommen werden."
Reshuffle items or TMs?,Gegenst├ñnde oder TMs neu ordnen?
Items were re-shuffled,Die Posten wurden neu gemischt
TMs were re-shuffled,Die TMs wurden neu gemischt
The Pok├®dex has been shuffled.,Der Pok├®dex ist neu gemischt worden.
The stone reacted with your hand.,Der Stein reagierte mit Ihrer Hand.
A loud noise echoed from underground!,Ein lautes Ger├ñusch ert├Ânte aus dem Untergrund!
"According to my intel, you've accepted to help \V[96] people.","Nach meinen Informationen haben Sie sich bereit erkl├ñrt, den Menschen zu helfen[96]."
"Of those, you've followed through with \V[98] people, meaning there are still \V[97] people waiting for you help out there!","Davon haben Sie \V[98] Menschen betreut, d.h. es gibt noch \V[97] Menschen, die auf Ihre Hilfe warten!"
"Also, there's one more thing...",Und da ist noch etwas...
"As a gift for having helped so many people, I want to give you this.","Als Geschenk daf├╝r, dass ich so vielen Menschen geholfen habe, m├Âchte ich Ihnen dies geben."
This HM will allow you to illuminate dark caves and should help you to progress in your journey!,"Dieser HM erm├Âglicht es dir, dunkle H├Âhlen zu beleuchten und sollte dir helfen, auf deiner Reise voranzukommen!"
This item will allows you to get twice the money in a battle if the Pok├®mon holding it took part in it!,"Mit diesem Item erh├ñltst du in einem Kampf doppelt so viel Geld, wenn das Pok├®mon, das es tr├ñgt, daran teilgenommen hat!"
I hope you'll find it helpful!,"Ich hoffe, Sie finden es hilfreich!"
"This will allow you to illuminate caves without having to use a HM! Practical, isn't it?","So k├Ânnen Sie H├Âhlen beleuchten, ohne einen HM zu benutzen! Praktisch, nicht wahr?"
This ancient medicine revives all fainted Pok├®mon when used in a battle. Use it when you're in a tough spot!,"Diese uralte Medizin erweckt alle ohnm├ñchtigen Pok├®mon wieder, wenn du sie in einem Kampf einsetzt. Benutze sie, wenn du in einer schwierigen Lage bist!"
"These rare stones can evolve any Pok├®mon, regardless of their level or evolution method. Use them wisely!","Mit diesen seltenen Steinen kann jedes Pok├®mon entwickelt werden, unabh├ñngig von seinem Level oder seiner Entwicklungsmethode. Setze sie mit Bedacht ein!"
Help \V[103] more people and I'll give you something good!,Hilf \V[103] mehr Menschen und ich gebe dir etwas Gutes!
I have no more rewards to give you! Thanks for helping all these people!,"Ich habe keine weiteren Belohnungen f├╝r euch! Danke, dass du all diesen Menschen geholfen hast!"
There's nothing there...,Da ist nichts zu sehen...
Set a new BST range for Wild Pok├®mon,Einen neuen BST-Bereich f├╝r Wild-Pok├®mon festlegen
The stats range for wild Pok├®mon is \V[197],Der Wertebereich f├╝r wilde Pok├®mon ist \V[197]
"\C[6]Warning: the BST range is set at \V[197], which means that wild Pok├®mon will only be replaced by other Pok├®mon with their exact base stats total. ","\C[6]Achtung: Die BST-Reichweite ist auf V[197] festgelegt, d. h. wilde Pok├®mon werden nur durch andere Pok├®mon ersetzt, die genau ihre Basiswerte aufweisen."
\C[6]Increase the BST range if you want more variety. The recommended range is between 5 and 30.,"\C[6]Erh├Âhen Sie den BST-Bereich, wenn Sie mehr Abwechslung w├╝nschen. Der empfohlene Bereich liegt zwischen 5 und 30."
The wild Pok├®mon have been shuffled.,Die wilden Pok├®mon sind neu gemischt worden.
\^Shuffling dex... \nThis may take a while...,\^^ Shuffling dex... \nDas kann eine Weile dauern...
Arceus looked up at the sky and shouted loudly!,Arceus schaute in den Himmel und schrie laut!
A loud noise echoed from underground...,Ein lautes Ger├ñusch hallte aus dem Untergrund wider...
"Hello, I'm the Help Man. Is there anything I can help you with?","Hallo, ich bin der Help Man. Kann ich Ihnen bei irgendetwas helfen?"
"\C[2]Warning: Opening this menu will flag your save file as a Randomized playthough, which will lock you out of certain events and rewards.","\C[2]Warnung: Wenn ihr dieses Men├╝ ├Âffnet, wird eure Speicherdatei als zuf├ñlliger Durchgang gekennzeichnet, was euch von bestimmten Ereignissen und Belohnungen ausschlie├ƒen wird."
\C[2]Are you sure you want to proceed?,"\C[2]Sind Sie sicher, dass Sie fortfahren m├Âchten?"
Single Species mode is currently \C[3]Enabled,"Der Modus ""Einzelne Arten"" ist derzeit \C[3]Aktiviert"
What would you like to do?,Was w├╝rden Sie gerne tun?
Single Species mode is now \C[2]Disabled,"Der Modus ""Einzelne Arten"" ist jetzt \C[2]Deaktiviert"
Single Species mode is currently \C[2]Disabled,"Der Modus ""Einzelne Arten"" ist derzeit \C[2]Deaktiviert"
Turn off Reversed mode?,Umgekehrter Modus ausschalten?
Reversed mode is now disabled.,Der umgekehrte Modus ist jetzt deaktiviert.
Turn on Reversed mode?,Umgekehrter Modus einschalten?
Reversed mode is now enabled.,Der umgekehrte Modus ist jetzt aktiviert.
In reversed mode all the fusions used by trainers are flipped. ,Im umgekehrten Modus werden alle von den Ausbildern verwendeten Fusionen umgedreht.
"So if a trainer normally has a Pikachu(Head)/Bubasaur (Body) fusion in normal mode, it will have a Bulbasaur (Head)/Pikachu(Body) fusion in Reversed Mode.","Wenn ein Trainer also normalerweise eine Pikachu(Kopf)/Bubasaur(K├Ârper)-Fusion im normalen Modus hat, wird er im umgekehrten Modus eine Bisasam(Kopf)/Pikachu(K├Ârper)-Fusion haben."
You cannot use this option while trainers are randomized.,"Sie k├Ânnen diese Option nicht verwenden, wenn die Trainer zuf├ñllig ausgew├ñhlt werden."
NPC trainers level up their Pok├®mon the more you battle them.,"NPC-Trainer leveln ihre Pok├®mon auf, je ├Âfter du gegen sie k├ñmpfst."
Would you like to reset all the trainers rematches? This cannot be undone.,M├Âchten Sie alle Rematches der Trainer zur├╝cksetzen? Dies kann nicht r├╝ckg├ñngig gemacht werden.
The trainers rematch hashmap was resetted.,Die Trainer-Rematch-Hashtap wurde zur├╝ckgesetzt.
"If you've been experiencing issues with the game, the first thing to do should be to make sure that you are playing on the most recent version of the game.","Wenn Sie Probleme mit dem Spiel haben, sollten Sie als Erstes sicherstellen, dass Sie mit der neuesten Version des Spiels spielen."
"Oftentimes, the issues that you're experiencing will have already been fixed in a newer update.","Oftmals wurden die Probleme, die bei Ihnen auftreten, bereits in einem neueren Update behoben."
You can download the most recent version on the game's Pokecommunity page.,Du kannst die neueste Version auf der Pokecommunity-Seite des Spiels herunterladen.
"If you already made sure that you are on the most recent version of the game and the issue persists, I can try and reset some of the game's parameters to see if it fixes it.","Wenn du dich bereits vergewissert hast, dass du die neueste Version des Spiels verwendest und das Problem weiterhin besteht, kann ich versuchen, einige Parameter des Spiels zur├╝ckzusetzen, um zu sehen, ob das Problem dadurch behoben wird."
"However, this could potentially have some unintended consequences. Would you like to proceed?",Dies k├Ânnte jedoch m├Âglicherweise unbeabsichtigte Folgen haben. M├Âchten Sie fortfahren?
Hopefully this helps!,Hoffentlich hilft das!
"If you have been experiencing frequent errors, please report them to the Discord, along with the error message and your game's version number.","Wenn bei Ihnen h├ñufig Fehler auftreten, melden Sie diese bitte im Discord, zusammen mit der Fehlermeldung und der Versionsnummer Ihres Spiels."
"Your Articuno, Zapdos and Moltres...","Dein Arktos, Zapdos und Lavados..."
My machine could clone them into a single Pok├®mon.,Meine Maschine k├Ânnte sie in ein einziges Pok├®mon klonen.
Would you like to do this?,W├╝rden Sie das gerne tun?
"Fine, then.",Also gut.
Very well... Let's proceed then.,Nun gut... Dann lasst uns weitermachen.
"Your Raikou, Entei and Suicune...","Dein Raikou, Entei und Suicune..."
"Your Kyogre, Groudon and Rayquaza...","Dein Kyogre, Groudon und Rayquaza..."
"Your Palkia, Dialga and Giratina...","Eure Palkia, Dialga und Giratina..."
"Your Reshiram, Zekrom and Kyurem...","Dein Reshiram, Zekrom und Kyurem..."
"Your Charizard, Blastoise and Venusaur...","Dein Glurak, Turtok und Bisaflor..."
"Your Meganium, Typhlosion and Feraligatr...","Dein Meganie, Tornupto und Impergator..."
"Your Sceptile, Blaziken and Swampert...","Dein Gewaldro, Lohgock und Sumpex..."
"Your Torterra, Infernape and Empoleon...","Dein Chelterrar, Panferno und Impoleon..."
"Your Mew, Celebi and Jirachi...","Dein Mew, Celebi und Jirachi..."
"Your Mewtwo, Deoxys and Genesect...","Dein Mewtu, Deoxys und Genesect..."
"Your Regice, Regirock and Registeel...","Eure Regice, Regirock und Registeel..."
"Your Chesnaught, Delphox and Greninja...","Dein Brigaron, Fennexis und Quajutsu..."
The clone is ready.,Der Klon ist fertig.
This egg will hatch into a creature called \C[1]\V[2]. ,Aus diesem Ei schl├╝pft eine Kreatur namens \C[1]\V[2].
"\PN, this a fusion between 3 powerful Pok├®mon, so it has the potential to become extremely strong, dangerous even.","\PN, das ist eine Fusion zwischen 3 m├ñchtigen Pok├®mon, es hat also das Potenzial, extrem stark und sogar gef├ñhrlich zu werden."
"I wouldn't give this to you if I did not trust you completely, but please be very cautious with it.","Ich w├╝rde Ihnen das nicht geben, wenn ich Ihnen nicht v├Âllig vertrauen w├╝rde, aber bitte gehen Sie sehr vorsichtig damit um."
You have already cloned these three Pok├®mon. I'm afraid my machine can create one clone of a given species. ,"Sie haben diese drei Pok├®mon bereits geklont. Ich f├╝rchte, meine Maschine kann nur einen Klon einer bestimmten Art erstellen."
"Otherwise, you'd risk draining them entirely of their power.","Andernfalls w├╝rden Sie riskieren, dass ihnen die gesamte Energie entzogen wird."
"\PN, the Magic Boots will let you walk <b>anywhere</b> by pressing the CTRL key.","\PN, die magischen Stiefel lassen dich <b>├╝berall hin</b> laufen, wenn du die STRG-Taste dr├╝ckst."
They're a proof that you've completely and thoroughly beat the game!,"Sie sind ein Beweis daf├╝r, dass du das Spiel vollst├ñndig und gr├╝ndlich gemeistert hast!"
"So you have collected the Bronze, Silver and Gold emblems.","Sie haben also die Bronze-, Silber- und Gold-Embleme gesammelt."
"\PN, you have fought remarkably hard to get where you are now.","\PN, Sie haben bemerkenswert hart gek├ñmpft, um dahin zu kommen, wo Sie jetzt sind."
"And so, I would like to hand you these.",Und deshalb m├Âchte ich Ihnen diese hier ├╝berreichen.
These will let you walk <b>anywhere</b> as long as you press the CTRL key.,"Diese lassen dich <b>├╝berall hin</b> gehen, solange du die STRG-Taste dr├╝ckst."
"\PN! Wear Dem's Badge before challenging the Elite Four, Gym Leader rematches, or Mt. Silver.","\PN! Trage Dem's Badge, bevor du die Elite Four, Gym Leader Rematches oder Silberberg herausforderst."
"If you win, you will receive a special emblem.","Wenn Sie gewinnen, erhalten Sie ein besonderes Emblem."
Collect all three of them and I will have a special reward to give you.,"Wenn du alle drei sammelst, werde ich dir eine besondere Belohnung geben."
The sleeping Pok├®mon woke up.,Das schlafende Pok├®mon wachte auf.
The Pok├®mon attacked!,Das Pok├®mon hat angegriffen!
Use regular starters?,Normale Vorspeisen verwenden?
Use which set of starters?,Welchen Satz von Vorspeisen verwenden?
"\ch[1,0,Kanto,Johto,Hoenn,Sinnoh,Kalos, Mixed Generations, Custom]","\ch[1,0,Kanto,Johto,Hoenn,Sinnoh,Kalos, Mixed Generations, Custom]"
Choose a starter Pok├®mon.,W├ñhle ein Starter-Pok├®mon.
Choose your starter Pok├®mon's body,W├ñhle den K├Ârper deines Starter-Pok├®mon
Choose your starter Pok├®mon's head,W├ñhle den Kopf deines Starter-Pok├®mon
Select \V[5] as your starter?,W├ñhlen Sie \V[5] als Vorspeise?
Would you like to turn Autosave on? ,M├Âchten Sie die automatische Speicherung aktivieren?
My child...,Mein Kind...
You seem like a very mean person. You have a lot of anger in your heart.,Sie scheinen ein sehr gemeiner Mensch zu sein. Du hast eine Menge Wut in deinem Herzen.
You don't strike me as a particularly good person...,Sie kommen mir nicht wie ein besonders guter Mensch vor...
"You strike me as someone who can be a bit mean-spirited sometimes, but still generally well-intentioned.","Sie kommen mir vor wie jemand, der manchmal ein bisschen b├Âsartig sein kann, aber im Allgemeinen immer noch gute Absichten hat."
"You strike me as a very neutral person. Neither good, nor bad.","Sie scheinen mir eine sehr neutrale Person zu sein. Weder gut, noch schlecht."
You seem like you're very pure of heart and always willing to help the ones in need.,"Du scheinst ein sehr reines Herz zu haben und immer bereit zu sein, denen zu helfen, die in Not sind."
You strike me as someone who tries its earnest to always do the right thing.,"Sie wirken auf mich wie jemand, der sich ernsthaft bem├╝ht, immer das Richtige zu tun."
"You strike me as someone who generally tries to do the right thing, but you could also do a bit more.","Sie kommen mir vor wie jemand, der im Allgemeinen versucht, das Richtige zu tun, aber Sie k├Ânnten auch ein bisschen mehr tun."
"You strike me as someone who generally tries to do the right thing, but your heart isn't completely pure either.","Sie scheinen mir jemand zu sein, der im Allgemeinen versucht, das Richtige zu tun, aber Ihr Herz ist auch nicht ganz rein."
Spread kindness around you and the universe will be kind to you in return.,"Verbreite Freundlichkeit um dich herum, und das Universum wird im Gegenzug freundlich zu dir sein."
"If it isn't the new Pok├®mon League Champion! Welcome home \PN, it's good to have you back.","Wenn das nicht der neue Pok├®mon Liga Champion ist! Willkommen zu Hause \PN, sch├Ân, dass du wieder da bist."
Everyone in the Pok├®mon scientific community is very impressed by your achievement.,Alle Pok├®mon-Wissenschaftler sind sehr beeindruckt von deiner Leistung.
"I have been talking with my colleague from the Johto region, professor Elm and told me that he wanted to give you a Pok├®mon to commemorate your victory.","Ich habe mich mit meinem Kollegen aus der Johto-Region, Professor Elm, unterhalten und er hat mir gesagt, dass er dir ein Pok├®mon schenken m├Âchte, um deinen Sieg zu w├╝rdigen."
He also mentionned something else...,Er erw├ñhnte auch noch etwas anderes...
"A long time ago, scientists from Cinnabar Island engineered a Pok├®mon more powerful than any others.","Vor langer Zeit haben Wissenschaftler von der Vulcania ein Pok├®mon entwickelt, das st├ñrker ist als alle anderen."
"But they failed to curb its vicious tendencies and one day, it fled the mansion and hasn't been seen ever since.","Doch es gelang ihnen nicht, seine b├Âsartigen Tendenzen zu z├╝geln, und eines Tages floh er aus dem Haus und wurde seitdem nicht mehr gesehen."
"Recently, my colleague Professor Elm in Johto came across some new information concerning this rare Pok├®mon's whereabouts.",K├╝rzlich stie├ƒ mein Kollege Professor Elm in Johto auf neue Informationen ├╝ber den Aufenthaltsort dieses seltenen Pok├®mon.
"He says he'd need the assistance of a strong trainer, so I thought you'd be the perfect candidate.","Er sagt, er br├ñuchte die Unterst├╝tzung eines starken Trainers, und ich dachte, Sie w├ñren der perfekte Kandidat."
"His lab is located in New Bark Town in the Johto region.  It's a long way from here, but do you think you could pay him a visit?","Sein Labor befindet sich in Neue-Rinde-Stadt in der Region Johto.  Das ist zwar weit weg von hier, aber k├Ânntest du ihm vielleicht einen Besuch abstatten?"
Please! Professor Elm would greatly benefit from the field experience of a powerful trainer like yourself.,Bitte! Professor Elm w├╝rde sehr von der praktischen Erfahrung eines starken Ausbilders wie Ihnen profitieren.
Won't you please reconsider?,Wollen Sie es sich nicht noch einmal ├╝berlegen?
Great! Then it's settled. Go meet my colleague Professor Elm in New Bark Town.,Gro├ƒartig! Dann ist alles klar. Geh zu meinem Kollegen Professor Elm in Neue-Rinde-Stadt.
You can get to Johto by taking the train from Saffron City.,Von Saffronia City aus kann man mit dem Zug nach Johto fahren.
"When you're in Goldenrod City, head down South through Azalea Town, and continue until you reach Violet City.","Wenn Sie in Goldenrod City sind, gehen Sie nach S├╝den durch Mimosaikon und weiter bis nach Veilchengarten."
"From there, it should be a straight path to New Bark Town!",Von dort aus sollte es ein gerader Weg nach Neue-Rinde-Stadt sein!
Professor Elm will give you further instructions when you meet him. Good luck!,"Professor Elm wird dir weitere Anweisungen geben, wenn du ihn triffst. Viel Gl├╝ck!"
Select the randomization type for wild Pok├®mon.,W├ñhlen Sie den Randomisierungs-Typ f├╝r wilde Pok├®mon.
Randomize legendaries and static encounters?,Legenden und statische Begegnungen zuf├ñllig ausw├ñhlen?
Randomize regular Pok├®mon to fusions?,Normale Pok├®mon zuf├ñllig zu Fusionen machen?
"Choose randomness degree (Wild Pok├®mon) \ch[1,10,More info,Balanced, Moderate, Insane,Custom]","Zufallsgrad w├ñhlen (Wilde Pok├®mon) \ch[1,10,Mehr Infos,Ausgewogen, Moderat, Wahnsinnig, Benutzerdefiniert]"
The Pok├®mon get shuffled according to their base stats. ,Die Pok├®mon werden entsprechend ihrer Basiswerte neu gemischt.
"The lower the degree, the more Pok├®mon will be replaced by other Pok├®mon with around the same stats. ","Je niedriger der Grad, desto mehr Pok├®mon werden durch andere Pok├®mon mit etwa denselben Werten ersetzt."
"The higher it is, the more they get randomized to anything.","Je h├Âher sie ist, desto mehr werden sie nach dem Zufallsprinzip auf alles M├Âgliche angesetzt."
"""Balanced"" randomizes Pok├®mon to other Pok├®mon that have the same stats total. (Harder)","Bei ""Ausgewogen"" werden Pok├®mon zuf├ñllig mit anderen Pok├®mon verglichen, die insgesamt die gleichen Werte haben. (H├ñrter)"
"""Insane"" is completely random, so you could end up with legendaries on the first route or with a Magikarp at the Elite Four.","""Wahnsinnig"" ist v├Âllig zuf├ñllig, so dass du auf der ersten Route mit Legend├ñren oder bei den Elite Four mit einem Karpador enden kannst."
"(Easier)\n""Moderate"" is somewhere in between.  You can also set the base stats range yourself if you so choose.","(Einfacher)\n ""Moderat"" liegt irgendwo dazwischen.  Sie k├Ânnen den Bereich der Basiswerte auch selbst festlegen, wenn Sie dies w├╝nschen."
Generating new wild encounters file. This could take a little while.,Generierung einer neuen Datei f├╝r wilde Begegnungen. Dies kann eine Weile dauern.
Encounters succesfully randomized!,Begegnungen erfolgreich randomisiert!
Randomize Trainers?,Trainer nach dem Zufallsprinzip ausw├ñhlen?
Include Pok├®mon with no custom sprites?,Pok├®mon ohne eigene Sprites einbeziehen?
The trainers need to be shuffled. Is that OK?,Die Trainer m├╝ssen umgeschult werden. Ist das in Ordnung?
Shuffle gym types?,Fitnessstudio-Typen mischen?
The trainers have not been randomized.,Die Ausbilder sind nicht randomisiert worden.
Randomize gym types?,Arenantypen zuf├ñllig ausw├ñhlen?
Randomize trainer held items?,Zufallsgenerierung von Gegenst├ñnden im Besitz des Trainers?
Randomize starters?,Starts nach dem Zufallsprinzip?
Randomize wild Pok├®mon?,Wilde Pok├®mon zuf├ñllig ausw├ñhlen?
"Choose randomness degree (Trainer Pok├®mon) \ch[1,10,More info,Balanced, Moderate, Insane,Custom]","Zufallsgrad w├ñhlen (Trainer-Pok├®mon) \ch[1,10,Mehr Infos,Ausgewogen, M├ñ├ƒig, Wahnsinnig, Benutzerdefiniert]"
Randomize items?,Gegenst├ñnde zuf├ñllig ausw├ñhlen?
"\C[2]While playing with randomized items, it is likely that you will come across unimplemented items. Be wary of items without a sprite.","\C[2]Beim Spielen mit zuf├ñlligen Gegenst├ñnden ist es wahrscheinlich, dass du auf unimplementierte Gegenst├ñnde st├Â├ƒt. Seien Sie vorsichtig bei Gegenst├ñnden ohne Sprite."
Randomize TMs?,TMs nach dem Zufallsprinzip ausw├ñhlen?
\C[7]Game's difficulty?,\C[7]Schwierigkeit des Spiels?
Easy mode:\n - Makes every Pok├®mon on your team gain exp like in modern Pok├®mon games,Einfacher Modus:\n - Jedes Pok├®mon in deinem Team erh├ñlt Erfahrungspunkte wie in modernen Pok├®mon-Spielen
Hard mode:\n - NPC trainers are higher level and use better AI\n - NPC trainers have access to healing items\n - Next Pok├®mon's name is not displayed before switching,Schwerer Modus:\n - NPC-Trainer haben ein h├Âheres Level und verwenden eine bessere KI\n - NPC-Trainer haben Zugang zu Heil-Items\n - Der Name des n├ñchsten Pok├®mon wird vor dem Wechsel nicht angezeigt
Notice to all trainers! We bring you this emergency news flash!,Hinweis an alle Ausbilder! Wir bringen euch diese Eilmeldung!
There have been report of two rare flying Pok├®mon in the Sevii Islands.,Es gibt Berichte ├╝ber zwei seltene fliegende Pok├®mon auf den Sevii-Inseln.
The Pok├®mon are \C[2]Red\C[0] and \C[1]Blue\C[0] coloured and they appear to be constantly on the move.,"Die Pok├®mon sind \C[2]Rot\C[0] und \C[1]Blau\C[0] gef├ñrbt, und sie scheinen st├ñndig in Bewegung zu sein."
There have also been reports of strong winds whenever these Pok├®mon are nearby. ,"Es gibt auch Berichte ├╝ber starke Winde, wenn diese Pok├®mon in der N├ñhe sind."
This concludes our special report!,Damit ist unser Sonderbericht abgeschlossen!
"Ok, you won! Here's your prize.","Okay, du hast gewonnen! Hier ist dein Preis."
\PN received \V[254] Battle tokens!,\PN hat \V[254] Kampfm├╝nzen erhalten!
\V[2],\V[2]
